id_step,id_resep,step
S1,R1,"Tumis bumbu halus, lalu masukkan daun salam dan sereh."
S2,R1,"Tambahkan air kaldu, masukkan singkong putih, daging ikan, daging ayam cincang rebus, aduk-aduk hingga setengah matang."
S3,R1,"Masukkan daun bayam, aduk hingga matang. Jika airnya mengental dapat ditambahkan air matang."
S4,R1,"Angkat, lalu saring halus atau diblender. Sebelum disajikan tambahkan saus jeruk."
S5,R2,"Kukus ikan, labu siam, tahu dan ubi ungu hingga matang"
S6,R2,Lumat/blender semua bahan di atas
S7,R2,Tambahkan santan dan kaldu jamur
S8,R2,"Tambahkan air, saring dan sajikan"
S9,R3,"Cincang daging paha ayam sampai halus Kukus Ubi, wortel dan tahu, dan daging ayam hingga matang. angkat"
S10,R3,Aduk dengan kaldu jamur dan santan
S11,R3,Lumat dengan air saat masih panas. Aduk rata.
S12,R3,Saring dan Sajikan
S13,R4,"Bersihkan salmon dari duri jika ada, potong bentuk kotak kecil"
S14,R4,"Rebus terpisah salmon, kentang dan daun kelor hingga matang"
S15,R4,"Hancurkan Kentang di mangkok tahan panas. Tambahkan mentega, aduk rata."
S16,R4,"Masukkan potongan salmon dan daun kelor ke dalam kentang. Tambah kaldu jamur dan air, aduk rata"
S17,R4,Saring dan Sajikan.
S18,R5,"Rebus misua dan oyong hingga matang, tiriskan."
S19,R5,"Tumis bawang putih, dan daun bawang hingga harum. Masukkan ikan dan jagung, masak sambil diaduk hingga jagung matang."
S20,R5,"Tambahkan air dan santan kedalam tumisan, masukkan misua dan oyong matang,"
S21,R5,Tambahan Royco Kaldu Spesial Jamur di akhir
S22,R5,"Aduk rata, saring dan sajikan"
S23,R6,Cincang halus paha ayam fillet
S24,R6,"Tumis ayam, dengan daun bawang, bawang putih dan jahe"
S25,R6,"Tambahkan nasi, buncis, santan, dan Royco Kaldu Spesial Ayam"
S26,R6,Rebus dengan air hingga nasi menjadi bubur
S27,R6,Haluskan dan saring
S28,R7,Haluskan hati ayam dan daun kelor. Sisihkan.
S29,R7,"Dalam panci masukkan beras, jagung, dan air. Rebus hingga beras menjadi lembut. Tambahkan Royco Kaldu Sepsial Jamur, aduk rata. Angkat."
S30,R7,Lumat atau haluskan. Tambahkan hati ayam dan daun kelor.
S31,R7,Saring dan sajikan.
S32,R8,"Tumis daging sapi cincang, daun bawang dan bawang putih dengan mentega hingga harum"
S33,R8,"Masukkan labu kuning, bengkuang, santan dan Royco Kaldu Spesial Jamur, masak hingga berubah warna"
S34,R8,"Tuang air, masak hingga mendidih, kecilkan api, haluskan dengan blender"
S35,R8,"Angkat, saring dan sajikan"
S36,R9,"Dalam panci didihkan air. Masukkan bawang putih, jahe, dan bayam. Rebus hingga berubah warna. Angkat, tiriskan bayam."
S37,R9,"Haluskan bayam, masukkan kembali ke dalam air rebusan dalam panci. Tambahkan nasi, dan Royco Kaldu Spesial Ayam. Aduk rata, masak hingga mendiddih."
S38,R9,"Masukkan telur ayam mentah, aduk hingga telur ayam matang lalu tambahkan santan."
S39,R9,Saring dan sajikan
S40,R10,Tumis daging sapi dengan minyak hingga berubah warna
S41,R10,Rebus ubi merah dan wortel hingga lunak
S42,R10,"Tambahkan bumbu halus, cengkih, kayu manis, jahe, biji pala, santan, dan kecap manis. Masak hingga harum"
S43,R10,"Masukkan Royco Kaldu Spesial Jamur dan air, masak sambil diaduk rata"
S44,R10,Saring dan sajikan
S45,R11,Lumuri tuna dengan Royco Kaldu Spesial Jamur. Kukus selama 20 menit atau hingga matang. Cincang halus ikan. Sisihkan.
S46,R11,"Rendam daun bawang dan daun kelor dalam air dingin, remas sedikit, angkat. Tiriskan."
S47,R11,"Dalam wadah berbeda lumat kuning telur dengan kacang wijen dan air perasan jeruk nipis. Tambahkan daun bawang, daun kelor dan tuna juga mayones MPASI. Aduk rata."
S48,R11,Tata di atas roti tawar. Bakar dengan sedikit mentega. Sajikan.
S49,R12,"Tumis daun bawang hingga harum. Masukkan daging giling ayam, santan dan gula, tumis hingga ayam berubah warna. Masukkan Royco Kaldu Spesial Ayam, daun kelor, dan kacang hijau kupas. Aduk rata. Angkat."
S50,R12,"Siapkan plastic wrap, tata nasi diatas. Kepalkan. Buka beri lubang sedikit. Masukkan isi. Tutup sambil dikepalkan."
S51,R12,"Bentuk sesuai selera. Hias dengan nori, jagung manis."
S52,R12,Potong sesuai selera sebelum disajikan.
S53,R13,"Kukus wortel, buncis, dan hati ayam hingga matang"
S54,R13,Tumis bawang bombay dan bawang putih hingga harum
S55,R13,"Masukkan telur ayam yang telah dicampur dengan susu dan royco kaldu spesial jamur, hingga membentuk lembaran dadar setengah matang"
S56,R13,"Lalu masukan wortel, buncis dan hati ayam di atas telur."
S57,R13,Lipat lembaran telur menyerupai omelette
S58,R13,Sajikan omelette di atas nasi putih yang telah dikukus lunak.
S59,R14,"Lelehkan margarin, masukkan bawang putih dan bawang bombai, tumis hingga harum."
S60,R14,"Masukkan makaroni rebus, smoked beef, dan brokoli, masak sambil diaduk rata. Matikan api, aduk rata."
S61,R14,"Masukkan susu dan telur kocok. Tambahkan Royco Kaldu Spesial Ayam, merica, dan ketumbar, aduk hingga rata. Masukkan keju cheddar, aduk rata."
S62,R14,Tuang campuran ke dalam pinggan tahan panas yang telah diolesi margarine. Taburi permukaan dengan keju.
S63,R14,Panggang dalam oven suhu 180°C hingga matang (+/- 40 menit).
S64,R14,"Keluarkan, potong kecil dan sajikan segera."
S65,R15,Rebus ubi cilembu yang sudah dikupas
S66,R15,"Tambahkan wortel cincang, bawang putih cincang dan bayam yang sudah dipetik"
S67,R15,Saring lalu parut ubi cilembudan peras bayam
S68,R15,"Masukkan semua bahan kedalam mangkok berisi ayam giling lalu aduk rata, tambahkan Royco Kaldu Ayam Spesial Jamur dan santan"
S69,R15,"Tambahkan tepung maizena agar adonan mengikat, aduk rata"
S70,R15,bentuk bulat seukuran 20g
S71,R15,Goreng hingga matang
S72,R15,"Angkat, tiriskan"
S73,R15,Potong halus/cincang sebelum disajikan
S74,R16,"Panggang salmon dengan minyak sampai matang, lumatkan"
S75,R16,"Rebus bayam sebentar, rendam dalam air dingin. Tiriskan sambil diperas agar tidak berair."
S76,R16,"Iris halus bayam, campur dengan salmon dan Royco Kaldu Spesial Jamur. Aduk rata."
S77,R16,"Lembutkan cream cheese, masukkan santan, campuran bayam dan salmon, lumat. Aduk rata."
S78,R16,"Sajikan dengan Biskuit /cracker tawar, potong kecil."
S79,R17,"Dalam wadah masukkan kentang kukus, bayam, wortel, daun bawang, telur ayam, dan Royco Kaldu Spesial Ayam. Aduk rata. Sisihkan."
S80,R17,Buang tulang dalam sayap ayam bagian winger.
S81,R17,"Lumuri ayam dengan kecap manis, jahe, air jeruk nipis, dan mentega tawar. Aduk rata. Diamkan selama 15 menit."
S82,R17,Beri isi dalam ayam. Tata di atas loyang panggang. Panggang 200ºC selama 20 menit. Keluarkan dari oven.
S83,R17,Potong kecil dan sajikan hangat.
S84,R18,"Kukus ikan, labu siam, tahu dan ubi ungu hingga matang"
S85,R18,Lumat/blender semua bahan di atas
S86,R18,Tambahkan santan dan Royco Kaldu Spesial Jamur
S87,R18,"Tambahkan air, saring dan sajikan"
